name,rating,reviews_count,contact,facilities,timing,address,known_for,restaurant_facilities,top_dishes_and_other,costing
dominos-pizza-wagholi,Average,88,['18602100000'],"['Home Delivery', 'Indoor Seating', 'Free Parking']",11am - 3am (Today),"Shop 2, Gate 559/1, Rainbow Cross Road, Pune Nagar Highway, Wagholi, Pune",Quick Bites,"['Well Sanitized Kitchen', 'Rider Hand Wash', 'Daily Temp. Checks']","['Cash and Cards accepted', 'Home Delivery', 'Indoor Seating', 'Free Parking']",Rs. 400 for two people (approx.)
mcdonalds-satara-road,Good,479,"['+918928210242', '+912065272015', '+918087062015']","['Breakfast', 'Home Delivery', 'Indoor Seating']",7am - 11pm (Today),"692 A2A, Near City Pride Multiplex, Saluja Chambers, Satara Road, Pune",Quick Bites,"['5 - Excellent', 'Well Sanitized Kitchen', 'Rider Hand Wash']","['Burgers, Coffee, Cappuccino, Hot Chocolate, French Fries, Peri Peri Fries, Aloo Tikki', 'Friendly Staff', 'Cash and Cards accepted\nDigital payments accepted', 'Breakfast', 'Home Delivery', 'Indoor Seating']",Rs. 500 for two people (approx.)
kfc-1-kharadi,Good,127,"['+919637174418', '+919112685099']","['Home Delivery', 'Mall Parking', 'Indoor Seating', 'Free Parking']",12noon - 9pm (Today),"Survey 60, Shop 4, Ground Floor, Pradeep Plaza West Wing, Ganga Platino, Kharadi, Pune",Quick Bites,"['Well Sanitized Kitchen', 'Rider Hand Wash']","['Cash and Cards accepted\nDigital payments accepted', 'Home Delivery', 'Mall Parking', 'Indoor Seating', 'Free Parking']",Rs. 450 for two people (approx.)
pizza-hut-kharadi,Good,223,['+912066279695'],"['Home Delivery', 'Indoor Seating']",11am - 11pm (Today),"Shop 4, Ground Floor, Unit F & B 04, Tower-2, World Trade Centre, City Hub, Pune Nagar Road, Opposite EON Free Zone, Haveli, Kharadi, Pune",Casual Dining,"['Well Sanitized Kitchen', 'Rider Hand Wash']","['Pizza, Garlic Bread, Potato Wedges, Tandoori Paneer', 'Decor', 'Cash and Cards accepted', 'Home Delivery', 'Indoor Seating']",Rs. 600 for two people (approx.)
burger-king-wagholi,Good,51,['+918552921515'],"['Home Delivery', 'Mall Parking', 'Indoor Seating', 'Free Parking']",10am - 12midnight (Today),"Shop 1, Rainbow Crossroad, Pune Nagar Highway, Bakori Phata, Wagholi, Pune",Quick Bites,"['5 - Excellent', 'Well Sanitized Kitchen', 'Rider Hand Wash']","['Cash and Cards accepted', 'Home Delivery', 'Mall Parking', 'Indoor Seating', 'Free Parking']",Rs. 500 for two people (approx.)
aromas-hyderabad-house-warje,Good,378,"['+917028030777', '+917028050777']","['Home Delivery', 'Indoor Seating']","12noon - 4pm, 7pm - 11pm (Today)","Survey 116, Showroom 101, Mumbai-Bangalore Highway, Warje, Pune",Casual Dining,"['4 - Very Good', 'Well Sanitized Kitchen']","['Rambo Chicken Biryani, Raita, Boneless Chicken, Vegetable Biryani, Chicken Dum Biryani, Tandoori Chicken, Hyderabadi Biryani', 'Friendly Staff, Prompt Service', 'Cash, Cards and Meal Coupons accepted', 'Home Delivery', 'Indoor Seating']",Rs. 900 for two people (approx.)
ramsar-bakery-1-shivaji-nagar,Good,86,"['+918605235312', '+912025534229']","['Home Delivery', 'Desserts and Bakes']",7am - 10:30pm (Today),"Opposite PMC Building, Shivaji Nagar, Pune",Bakery,['Well Sanitized Kitchen'],"['Cash and Cards accepted\nDigital payments accepted', 'Home Delivery', 'Desserts and Bakes']",Rs. 200 for two people (approx.)
le-plaisir-deccan-gymkhana,Excellent,"4,757","['+918550995835', '+918550995865']","['Breakfast', 'Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",9am - 11pm (Today),"Survey 759/125, Rajkamal, Opposite Kelkar Eye Hospital, Prabhat Road, Deccan Gymkhana, Pune",Café,['Well Sanitized Kitchen'],"['Pasta, Sandwich, Macaroon, Cheesecake, Salad, Hot Chocolate, Coffee', 'Courteous Staff, Friendly Staff, Friendly Service, Decor, Classy Place, Comfortable Seating', 'Cash and Cards accepted', 'Breakfast', 'Home Delivery', 'Indoor Seating', 'Desserts and Bakes']","Rs. 1,000 for two people (approx.)"
ovenstory-pizza-1-kharadi,Very Good,46,['+919152987607'],['Delivery Only'],11am - 11pm (Today),,Pizza,"['Well Sanitized Kitchen', 'Rider Hand Wash', 'Daily Temp. Checks']","['Chocolate Fantasy, Veggie Pizza, Paneer Pizza', 'Cash and Cards accepted', 'Delivery Only']",Rs. 600 for two people (approx.)
mojo-pizza-2x-toppings-katraj,Very Good,126,['+912233252828'],['Delivery Only'],11am - 1am (Today),,Pizza,"['Well Sanitized Kitchen', 'Rider Hand Wash', 'Daily Temp. Checks']","['Chocolava Cake, Veggie Pizza, Spicy Paneer, Double Cheese Margherita, Garlic Bread, House Pizza, Paneer Tikka Pizza', 'Prompt Service', 'Cash and Cards accepted', 'Delivery Only']",Rs. 550 for two people (approx.)
